penguin_id,species,island,sex,year,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
59,Adelie,Biscoe,female,2008,36.4,17.1,184.0,2850.0
60,Adelie,Biscoe,male,2008,41.6,18.0,192.0,3950.0
61,Adelie,Biscoe,female,2008,35.5,16.2,195.0,3350.0
62,Adelie,Biscoe,male,2008,41.1,19.1,188.0,4100.0
63,Adelie,Torgersen,female,2008,35.9,16.6,190.0,3050.0
64,Adelie,Torgersen,male,2008,41.8,19.4,198.0,4450.0
65,Adelie,Torgersen,female,2008,33.5,19.0,190.0,3600.0
66,Adelie,Torgersen,male,2008,39.7,18.4,190.0,3900.0
67,Adelie,Torgersen,female,2008,39.6,17.2,196.0,3550.0
68,Adelie,Torgersen,male,2008,45.8,18.9,197.0,4150.0
69,Adelie,Torgersen,female,2008,35.5,17.5,190.0,3700.0
70,Adelie,Torgersen,male,2008,42.8,18.5,195.0,4250.0
71,Adelie,Torgersen,female,2008,40.9,16.8,191.0,3700.0
72,Adelie,Torgersen,male,2008,37.2,19.4,184.0,3900.0
73,Adelie,Torgersen,female,2008,36.2,16.1,187.0,3550.0
74,Adelie,Torgersen,male,2008,42.1,19.1,195.0,4000.0
75,Adelie,Torgersen,female,2008,34.6,17.2,189.0,3200.0
76,Adelie,Torgersen,male,2008,42.9,17.6,196.0,4700.0
77,Adelie,Torgersen,female,2008,36.7,18.8,187.0,3800.0
78,Adelie,Torgersen,male,2008,35.1,19.4,193.0,4200.0
79,Adelie,Dream,female,2008,37.3,17.8,191.0,3350.0
80,Adelie,Dream,male,2008,41.3,20.3,194.0,3550.0
81,Adelie,Dream,male,2008,36.3,19.5,190.0,3800.0
82,Adelie,Dream,female,2008,36.9,18.6,189.0,3500.0
83,Adelie,Dream,male,2008,38.3,19.2,189.0,3950.0
84,Adelie,Dream,female,2008,38.9,18.8,190.0,3600.0
85,Adelie,Dream,female,2008,35.7,18.0,202.0,3550.0
86,Adelie,Dream,male,2008,41.1,18.1,205.0,4300.0
87,Adelie,Dream,female,2008,34.0,17.1,185.0,3400.0
88,Adelie,Dream,male,2008,39.6,18.1,186.0,4450.0
89,Adelie,Dream,female,2008,36.2,17.3,187.0,3300.0
90,Adelie,Dream,male,2008,40.8,18.9,208.0,4300.0
91,Adelie,Dream,female,2008,38.1,18.6,190.0,3700.0
92,Adelie,Dream,male,2008,40.3,18.5,196.0,4350.0
93,Adelie,Dream,female,2008,33.1,16.1,178.0,2900.0
94,Adelie,Dream,male,2008,43.2,18.5,192.0,4100.0
95,Adelie,Biscoe,female,2009,35.0,17.9,192.0,3725.0
96,Adelie,Biscoe,male,2009,41.0,20.0,203.0,4725.0
97,Adelie,Biscoe,female,2009,37.7,16.0,183.0,3075.0
98,Adelie,Biscoe,male,2009,37.8,20.0,190.0,4250.0
99,Adelie,Biscoe,female,2009,37.9,18.6,193.0,2925.0
100,Adelie,Biscoe,male,2009,39.7,18.9,184.0,3550.0
101,Adelie,Biscoe,female,2009,38.6,17.2,199.0,3750.0
102,Adelie,Biscoe,male,2009,38.2,20.0,190.0,3900.0
103,Adelie,Biscoe,female,2009,38.1,17.0,181.0,3175.0
104,Adelie,Biscoe,male,2009,43.2,19.0,197.0,4775.0
105,Adelie,Biscoe,female,2009,38.1,16.5,198.0,3825.0
106,Adelie,Biscoe,male,2009,45.6,20.3,191.0,4600.0
107,Adelie,Biscoe,female,2009,39.7,17.7,193.0,3200.0
108,Adelie,Biscoe,male,2009,42.2,19.5,197.0,4275.0
109,Adelie,Biscoe,female,2009,39.6,20.7,191.0,3900.0
110,Adelie,Biscoe,male,2009,42.7,18.3,196.0,4075.0
111,Adelie,Torgersen,female,2009,38.6,17.0,188.0,2900.0
112,Adelie,Torgersen,male,2009,37.3,20.5,199.0,3775.0
113,Adelie,Torgersen,female,2009,35.7,17.0,189.0,3350.0
114,Adelie,Torgersen,male,2009,41.1,18.6,189.0,3325.0
115,Adelie,Torgersen,female,2009,36.2,17.2,187.0,3150.0
116,Adelie,Torgersen,male,2009,37.7,19.8,198.0,3500.0
117,Adelie,Torgersen,female,2009,40.2,17.0,176.0,3450.0
118,Adelie,Torgersen,male,2009,41.4,18.5,202.0,3875.0
119,Adelie,Torgersen,female,2009,35.2,15.9,186.0,3050.0
120,Adelie,Torgersen,male,2009,40.6,19.0,199.0,4000.0
121,Adelie,Torgersen,female,2009,38.8,17.6,191.0,3275.0
122,Adelie,Torgersen,male,2009,41.5,18.3,195.0,4300.0
123,Adelie,Torgersen,female,2009,39.0,17.1,191.0,3050.0
124,Adelie,Torgersen,male,2009,44.1,18.0,210.0,4000.0
125,Adelie,Torgersen,female,2009,38.5,17.9,190.0,3325.0
126,Adelie,Torgersen,male,2009,43.1,19.2,197.0,3500.0
127,Adelie,Dream,female,2009,36.8,18.5,193.0,3500.0
128,Adelie,Dream,male,2009,37.5,18.5,199.0,4475.0
129,Adelie,Dream,female,2009,38.1,17.6,187.0,3425.0
130,Adelie,Dream,male,2009,41.1,17.5,190.0,3900.0
131,Adelie,Dream,female,2009,35.6,17.5,191.0,3175.0
132,Adelie,Dream,male,2009,40.2,20.1,200.0,3975.0
133,Adelie,Dream,female,2009,37.0,16.5,185.0,3400.0
134,Adelie,Dream,male,2009,39.7,17.9,193.0,4250.0
135,Adelie,Dream,female,2009,40.2,17.1,193.0,3400.0
136,Adelie,Dream,male,2009,40.6,17.2,187.0,3475.0
137,Adelie,Dream,female,2009,32.1,15.5,188.0,3050.0
138,Adelie,Dream,male,2009,40.7,17.0,190.0,3725.0
139,Adelie,Dream,female,2009,37.3,16.8,192.0,3000.0
140,Adelie,Dream,male,2009,39.0,18.7,185.0,3650.0
141,Adelie,Dream,male,2009,39.2,18.6,190.0,4250.0
142,Adelie,Dream,female,2009,36.6,18.4,184.0,3475.0
143,Adelie,Dream,female,2009,36.0,17.8,195.0,3450.0
144,Adelie,Dream,male,2009,37.8,18.1,193.0,3750.0
145,Adelie,Dream,female,2009,36.0,17.1,187.0,3700.0
146,Adelie,Dream,male,2009,41.5,18.5,201.0,4000.0
147,Gentoo,Biscoe,female,2007,46.1,13.2,211.0,4500.0
148,Gentoo,Biscoe,male,2007,50.0,16.3,230.0,5700.0
149,Gentoo,Biscoe,female,2007,48.7,14.1,210.0,4450.0
150,Gentoo,Biscoe,male,2007,50.0,15.2,218.0,5700.0
151,Gentoo,Biscoe,male,2007,47.6,14.5,215.0,5400.0
152,Gentoo,Biscoe,female,2007,46.5,13.5,210.0,4550.0
153,Gentoo,Biscoe,female,2007,45.4,14.6,211.0,4800.0
154,Gentoo,Biscoe,male,2007,46.7,15.3,219.0,5200.0
155,Gentoo,Biscoe,female,2007,43.3,13.4,209.0,4400.0
156,Gentoo,Biscoe,male,2007,46.8,15.4,215.0,5150.0
157,Gentoo,Biscoe,female,2007,40.9,13.7,214.0,4650.0
158,Gentoo,Biscoe,male,2007,49.0,16.1,216.0,5550.0
159,Gentoo,Biscoe,female,2007,45.5,13.7,214.0,4650.0
160,Gentoo,Biscoe,male,2007,48.4,14.6,213.0,5850.0
161,Gentoo,Biscoe,female,2007,45.8,14.6,210.0,4200.0
162,Gentoo,Biscoe,male,2007,49.3,15.7,217.0,5850.0
163,Gentoo,Biscoe,female,2007,42.0,13.5,210.0,4150.0
164,Gentoo,Biscoe,male,2007,49.2,15.2,221.0,6300.0
165,Gentoo,Biscoe,female,2007,46.2,14.5,209.0,4800.0
166,Gentoo,Biscoe,male,2007,48.7,15.1,222.0,5350.0
167,Gentoo,Biscoe,male,2007,50.2,14.3,218.0,5700.0
168,Gentoo,Biscoe,female,2007,45.1,14.5,215.0,5000.0
169,Gentoo,Biscoe,female,2007,46.5,14.5,213.0,4400.0
170,Gentoo,Biscoe,male,2007,46.3,15.8,215.0,5050.0
171,Gentoo,Biscoe,female,2007,42.9,13.1,215.0,5000.0
172,Gentoo,Biscoe,male,2007,46.1,15.1,215.0,5100.0
173,Gentoo,Biscoe,male,2007,47.8,15.0,215.0,5650.0
174,Gentoo,Biscoe,female,2007,48.2,14.3,210.0,4600.0
175,Gentoo,Biscoe,male,2007,50.0,15.3,220.0,5550.0
176,Gentoo,Biscoe,male,2007,47.3,15.3,222.0,5250.0
177,Gentoo,Biscoe,female,2007,42.8,14.2,209.0,4700.0
178,Gentoo,Biscoe,female,2007,45.1,14.5,207.0,5050.0
179,Gentoo,Biscoe,male,2007,59.6,17.0,230.0,6050.0
180,Gentoo,Biscoe,female,2008,49.1,14.8,220.0,5150.0
181,Gentoo,Biscoe,male,2008,48.4,16.3,220.0,5400.0
182,Gentoo,Biscoe,female,2008,42.6,13.7,213.0,4950.0
183,Gentoo,Biscoe,male,2008,44.4,17.3,219.0,5250.0
184,Gentoo,Biscoe,female,2008,44.0,13.6,208.0,4350.0
185,Gentoo,Biscoe,male,2008,48.7,15.7,208.0,5350.0
186,Gentoo,Biscoe,female,2008,42.7,13.7,208.0,3950.0
187,Gentoo,Biscoe,male,2008,49.6,16.0,225.0,5700.0
188,Gentoo,Biscoe,female,2008,45.3,13.7,210.0,4300.0
189,Gentoo,Biscoe,male,2008,49.6,15.0,216.0,4750.0
190,Gentoo,Biscoe,male,2008,50.5,15.9,222.0,5550.0
191,Gentoo,Biscoe,female,2008,43.6,13.9,217.0,4900.0
192,Gentoo,Biscoe,female,2008,45.5,13.9,210.0,4200.0
193,Gentoo,Biscoe,male,2008,50.5,15.9,225.0,5400.0
194,Gentoo,Biscoe,female,2008,44.9,13.3,213.0,5100.0
195,Gentoo,Biscoe,male,2008,45.2,15.8,215.0,5300.0
196,Gentoo,Biscoe,female,2008,46.6,14.2,210.0,4850.0
197,Gentoo,Biscoe,male,2008,48.5,14.1,220.0,5300.0
198,Gentoo,Biscoe,female,2008,45.1,14.4,210.0,4400.0
199,Gentoo,Biscoe,male,2008,50.1,15.0,225.0,5000.0
200,Gentoo,Biscoe,female,2008,46.5,14.4,217.0,4900.0
201,Gentoo,Biscoe,male,2008,45.0,15.4,220.0,5050.0
202,Gentoo,Biscoe,female,2008,43.8,13.9,208.0,4300.0
203,Gentoo,Biscoe,male,2008,45.5,15.0,220.0,5000.0
204,Gentoo,Biscoe,female,2008,43.2,14.5,208.0,4450.0
205,Gentoo,Biscoe,male,2008,50.4,15.3,224.0,5550.0
206,Gentoo,Biscoe,female,2008,45.3,13.8,208.0,4200.0
207,Gentoo,Biscoe,male,2008,46.2,14.9,221.0,5300.0
208,Gentoo,Biscoe,female,2008,45.7,13.9,214.0,4400.0
209,Gentoo,Biscoe,male,2008,54.3,15.7,231.0,5650.0
210,Gentoo,Biscoe,female,2008,45.8,14.2,219.0,4700.0
211,Gentoo,Biscoe,male,2008,49.8,16.8,230.0,5700.0
212,Gentoo,Biscoe,male,2008,49.5,16.2,229.0,5800.0
213,Gentoo,Biscoe,female,2008,43.5,14.2,220.0,4700.0
214,Gentoo,Biscoe,male,2008,50.7,15.0,223.0,5550.0
215,Gentoo,Biscoe,female,2008,47.7,15.0,216.0,4750.0
216,Gentoo,Biscoe,male,2008,46.4,15.6,221.0,5000.0
217,Gentoo,Biscoe,male,2008,48.2,15.6,221.0,5100.0
218,Gentoo,Biscoe,female,2008,46.5,14.8,217.0,5200.0
219,Gentoo,Biscoe,female,2008,46.4,15.0,216.0,4700.0
220,Gentoo,Biscoe,male,2008,48.6,16.0,230.0,5800.0
221,Gentoo,Biscoe,female,2008,47.5,14.2,209.0,4600.0
222,Gentoo,Biscoe,male,2008,51.1,16.3,220.0,6000.0
223,Gentoo,Biscoe,female,2008,45.2,13.8,215.0,4750.0
224,Gentoo,Biscoe,male,2008,45.2,16.4,223.0,5950.0
225,Gentoo,Biscoe,female,2009,49.1,14.5,212.0,4625.0
226,Gentoo,Biscoe,male,2009,52.5,15.6,221.0,5450.0
227,Gentoo,Biscoe,female,2009,47.4,14.6,212.0,4725.0
228,Gentoo,Biscoe,male,2009,50.0,15.9,224.0,5350.0
229,Gentoo,Biscoe,female,2009,44.9,13.8,212.0,4750.0
230,Gentoo,Biscoe,male,2009,50.8,17.3,228.0,5600.0
231,Gentoo,Biscoe,female,2009,43.4,14.4,218.0,4600.0
232,Gentoo,Biscoe,male,2009,51.3,14.2,218.0,5300.0
233,Gentoo,Biscoe,female,2009,47.5,14.0,212.0,4875.0
234,Gentoo,Biscoe,male,2009,52.1,17.0,230.0,5550.0
235,Gentoo,Biscoe,female,2009,47.5,15.0,218.0,4950.0
236,Gentoo,Biscoe,male,2009,52.2,17.1,228.0,5400.0
237,Gentoo,Biscoe,female,2009,45.5,14.5,212.0,4750.0
238,Gentoo,Biscoe,male,2009,49.5,16.1,224.0,5650.0
239,Gentoo,Biscoe,female,2009,44.5,14.7,214.0,4850.0
240,Gentoo,Biscoe,male,2009,50.8,15.7,226.0,5200.0
241,Gentoo,Biscoe,male,2009,49.4,15.8,216.0,4925.0
242,Gentoo,Biscoe,female,2009,46.9,14.6,222.0,4875.0
243,Gentoo,Biscoe,female,2009,48.4,14.4,203.0,4625.0
244,Gentoo,Biscoe,male,2009,51.1,16.5,225.0,5250.0
245,Gentoo,Biscoe,female,2009,48.5,15.0,219.0,4850.0
246,Gentoo,Biscoe,male,2009,55.9,17.0,228.0,5600.0
247,Gentoo,Biscoe,female,2009,47.2,15.5,215.0,4975.0
248,Gentoo,Biscoe,male,2009,49.1,15.0,228.0,5500.0
249,Gentoo,Biscoe,male,2009,46.8,16.1,215.0,5500.0
250,Gentoo,Biscoe,female,2009,41.7,14.7,210.0,4700.0
251,Gentoo,Biscoe,male,2009,53.4,15.8,219.0,5500.0
252,Gentoo,Biscoe,female,2009,43.3,14.0,208.0,4575.0
253,Gentoo,Biscoe,male,2009,48.1,15.1,209.0,5500.0
254,Gentoo,Biscoe,female,2009,50.5,15.2,216.0,5000.0
255,Gentoo,Biscoe,male,2009,49.8,15.9,229.0,5950.0
256,Gentoo,Biscoe,female,2009,43.5,15.2,213.0,4650.0
257,Gentoo,Biscoe,male,2009,51.5,16.3,230.0,5500.0
258,Gentoo,Biscoe,female,2009,46.2,14.1,217.0,4375.0
259,Gentoo,Biscoe,male,2009,55.1,16.0,230.0,5850.0
260,Gentoo,Biscoe,male,2009,48.8,16.2,222.0,6000.0
261,Gentoo,Biscoe,female,2009,47.2,13.7,214.0,4925.0
262,Gentoo,Biscoe,female,2009,46.8,14.3,215.0,4850.0
263,Gentoo,Biscoe,male,2009,50.4,15.7,222.0,5750.0
264,Gentoo,Biscoe,female,2009,45.2,14.8,212.0,5200.0
265,Gentoo,Biscoe,male,2009,49.9,16.1,213.0,5400.0
266,Chinstrap,Dream,female,2007,46.5,17.9,192.0,3500.0
267,Chinstrap,Dream,male,2007,50.0,19.5,196.0,3900.0
268,Chinstrap,Dream,male,2007,51.3,19.2,193.0,3650.0
269,Chinstrap,Dream,female,2007,45.4,18.7,188.0,3525.0
270,Chinstrap,Dream,male,2007,52.7,19.8,197.0,3725.0
271,Chinstrap,Dream,female,2007,45.2,17.8,198.0,3950.0
272,Chinstrap,Dream,female,2007,46.1,18.2,178.0,3250.0
273,Chinstrap,Dream,male,2007,51.3,18.2,197.0,3750.0
274,Chinstrap,Dream,female,2007,46.0,18.9,195.0,4150.0
275,Chinstrap,Dream,male,2007,51.3,19.9,198.0,3700.0
276,Chinstrap,Dream,female,2007,46.6,17.8,193.0,3800.0
277,Chinstrap,Dream,male,2007,51.7,20.3,194.0,3775.0
278,Chinstrap,Dream,female,2007,47.0,17.3,185.0,3700.0
279,Chinstrap,Dream,male,2007,52.0,18.1,201.0,4050.0
280,Chinstrap,Dream,female,2007,45.9,17.1,190.0,3575.0
281,Chinstrap,Dream,male,2007,50.5,19.6,201.0,4050.0
282,Chinstrap,Dream,male,2007,50.3,20.0,197.0,3300.0
283,Chinstrap,Dream,female,2007,58.0,17.8,181.0,3700.0
284,Chinstrap,Dream,female,2007,46.4,18.6,190.0,3450.0
285,Chinstrap,Dream,male,2007,49.2,18.2,195.0,4400.0
286,Chinstrap,Dream,female,2007,42.4,17.3,181.0,3600.0
287,Chinstrap,Dream,male,2007,48.5,17.5,191.0,3400.0
288,Chinstrap,Dream,female,2007,43.2,16.6,187.0,2900.0
289,Chinstrap,Dream,male,2007,50.6,19.4,193.0,3800.0
290,Chinstrap,Dream,female,2007,46.7,17.9,195.0,3300.0
291,Chinstrap,Dream,male,2007,52.0,19.0,197.0,4150.0
292,Chinstrap,Dream,female,2008,50.5,18.4,200.0,3400.0
293,Chinstrap,Dream,male,2008,49.5,19.0,200.0,3800.0
294,Chinstrap,Dream,female,2008,46.4,17.8,191.0,3700.0
295,Chinstrap,Dream,male,2008,52.8,20.0,205.0,4550.0
296,Chinstrap,Dream,female,2008,40.9,16.6,187.0,3200.0
297,Chinstrap,Dream,male,2008,54.2,20.8,201.0,4300.0
298,Chinstrap,Dream,female,2008,42.5,16.7,187.0,3350.0
299,Chinstrap,Dream,male,2008,51.0,18.8,203.0,4100.0
300,Chinstrap,Dream,male,2008,49.7,18.6,195.0,3600.0
301,Chinstrap,Dream,female,2008,47.5,16.8,199.0,3900.0
302,Chinstrap,Dream,female,2008,47.6,18.3,195.0,3850.0
303,Chinstrap,Dream,male,2008,52.0,20.7,210.0,4800.0
304,Chinstrap,Dream,female,2008,46.9,16.6,192.0,2700.0
305,Chinstrap,Dream,male,2008,53.5,19.9,205.0,4500.0
306,Chinstrap,Dream,male,2008,49.0,19.5,210.0,3950.0
307,Chinstrap,Dream,female,2008,46.2,17.5,187.0,3650.0
308,Chinstrap,Dream,male,2008,50.9,19.1,196.0,3550.0
309,Chinstrap,Dream,female,2008,45.5,17.0,196.0,3500.0
310,Chinstrap,Dream,female,2009,50.9,17.9,196.0,3675.0
311,Chinstrap,Dream,male,2009,50.8,18.5,201.0,4450.0
312,Chinstrap,Dream,female,2009,50.1,17.9,190.0,3400.0
313,Chinstrap,Dream,male,2009,49.0,19.6,212.0,4300.0
314,Chinstrap,Dream,male,2009,51.5,18.7,187.0,3250.0
315,Chinstrap,Dream,female,2009,49.8,17.3,198.0,3675.0
316,Chinstrap,Dream,female,2009,48.1,16.4,199.0,3325.0
317,Chinstrap,Dream,male,2009,51.4,19.0,201.0,3950.0
318,Chinstrap,Dream,female,2009,45.7,17.3,193.0,3600.0
319,Chinstrap,Dream,male,2009,50.7,19.7,203.0,4050.0
320,Chinstrap,Dream,female,2009,42.5,17.3,187.0,3350.0
321,Chinstrap,Dream,male,2009,52.2,18.8,197.0,3450.0
322,Chinstrap,Dream,female,2009,45.2,16.6,191.0,3250.0
323,Chinstrap,Dream,male,2009,49.3,19.9,203.0,4050.0
324,Chinstrap,Dream,male,2009,50.2,18.8,202.0,3800.0
325,Chinstrap,Dream,female,2009,45.6,19.4,194.0,3525.0
326,Chinstrap,Dream,male,2009,51.9,19.5,206.0,3950.0
327,Chinstrap,Dream,female,2009,46.8,16.5,189.0,3650.0
328,Chinstrap,Dream,female,2009,45.7,17.0,195.0,3650.0
329,Chinstrap,Dream,male,2009,55.8,19.8,207.0,4000.0
330,Chinstrap,Dream,female,2009,43.5,18.1,202.0,3400.0
331,Chinstrap,Dream,male,2009,49.6,18.2,193.0,3775.0
332,Chinstrap,Dream,male,2009,50.8,19.0,210.0,4100.0
333,Chinstrap,Dream,female,2009,50.2,18.7,198.0,3775.0
